Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Poster-src,Duration (minutes),embedding_text,Generated_Plot
Cobb,6.4,1994,R,Biography,Ron Shelton,Al StumpRon Shelton,66.0,"https://m.media-amazon.com/images/M/MV5BMzg5YzgwMjgtOWFiYy00YmEyLWJlY2EtZjg5YWQwOTlkMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",128.0,Title: Cobb; Genre: Biography; Director: Ron Shelton; Cast: Al StumpRon Shelton,"Cobb explores the turbulent life and career of Ty Cobb, one of baseball's most controversial and talented players.  The film delves into his complex personality, revealing the man behind the legendary hitter,  a figure both admired and reviled for his aggressive style on and off the field.  It examines his relentless pursuit of excellence and the personal demons that fueled his intensity.  Ultimately, Cobb grapples with his legacy, confronting the contradictions of a life lived at the extremes."
Godard Mon Amour,6.6,2017,R,Biography,Michel Hazanavicius,Louis GarrelStacy MartinBérénice Bejo,55.0,"https://m.media-amazon.com/images/M/MV5BYTNkNGQ0MDctNGNjMS00Y2NhLTk4MTItYjMyMDczZWVjMTJkXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",107.0,Title: Godard Mon Amour; Genre: Biography; Director: Michel Hazanavicius; Cast: Louis GarrelStacy MartinBérénice Bejo,"Godard Mon Amour plunges into the passionate and turbulent romance between a young filmmaker and his enigmatic muse during the heady days of the French New Wave.  Their love affair mirrors the revolutionary spirit of the era, fueled by artistic ambition and ideological clashes.  As their relationship intensifies, so does the pressure of their creative pursuits and the tumultuous political climate.  Their love story becomes a poignant reflection on the creative process, artistic integrity, and the complexities of human connection.  Ultimately, their fiery passion leads to a dramatic and unexpected reckoning."
Muscle Shoals,7.8,2013,PG,Documentary,Greg 'Freddy' Camalier,Rick HallAretha FranklinKeith Richards,75.0,"https://m.media-amazon.com/images/M/MV5BMTUzMzU1MTA0N15BMl5BanBnXkFtZTgwMjY3MDgwMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",111.0,Title: Muscle Shoals; Genre: Documentary; Director: Greg 'Freddy' Camalier; Cast: Rick HallAretha FranklinKeith Richards,"Muscle Shoals delves into the legendary Alabama recording studio that birthed countless soul and rock classics.  The film explores the unique alchemy of the studio's environment and the innovative musicians who shaped a generation's sound.  From its humble beginnings to its incredible influence on popular music, the documentary reveals the secrets behind the magic of Muscle Shoals Sound.  It's a story of talent, collaboration, and the enduring power of music."
It's All Gone Pete Tong,7.2,2004,R,Biography,Michael Dowse,Paul KayeBeatriz BatardaKate Magowan,56.0,"https://m.media-amazon.com/images/M/MV5BMTY0OTY2MzMyN15BMl5BanBnXkFtZTcwNzE5NTgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0,Title: It's All Gone Pete Tong; Genre: Biography; Director: Michael Dowse; Cast: Paul KayeBeatriz BatardaKate Magowan,"A celebrated DJ, living the high life fueled by fame and excess, spirals into a catastrophic decline after a sudden and devastating loss of hearing.  His world implodes as he grapples with addiction and the disintegration of his career and relationships.  Forced to confront his demons, he embarks on a painful but ultimately redemptive journey to rebuild his life. The film chronicles his rise and fall, and the ultimate fight to reclaim his identity and find his sound once more.  Ultimately, it's a story about survival, redemption, and the power of music."
Chuck,6.5,2016,R,Biography,Philippe Falardeau,Jeff FeuerzeigJerry StahlMichael Cristofer,68.0,"https://m.media-amazon.com/images/M/MV5BYzkxYmFlNjQtMGY2Ni00ZDZmLTk4NzktMTc2Mzg0OTY5MjUyXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",98.0,Title: Chuck; Genre: Biography; Director: Philippe Falardeau; Cast: Jeff FeuerzeigJerry StahlMichael Cristofer,"Chuck explores the life and career of Chuck Klosterman, a celebrated author known for his unique blend of pop culture analysis and insightful personal essays.  The film delves into his creative process, revealing the challenges and triumphs of navigating the unpredictable path of a writer.  We witness his evolution from a quirky college student to a highly regarded voice in contemporary literature.  His unconventional approach to writing and life is laid bare, offering a compelling portrait of an original mind.  Ultimately, the film celebrates the power of authentic self-expression."
MacArthur,6.5,1977,PG,Biography,Joseph Sargent,Gregory PeckDan O'HerlihyEd Flanders,66.0,"https://m.media-amazon.com/images/M/MV5BNTRjMjYzNDEtMjNmNy00NzJiLWE0NDgtZDk1N2IzYjgzYTMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,4,190,281_.jpg",130.0,Title: MacArthur; Genre: Biography; Director: Joseph Sargent; Cast: Gregory PeckDan O'HerlihyEd Flanders,"The film charts the controversial career of General Douglas MacArthur, from his early triumphs to his ultimate dismissal by President Truman.  His unwavering confidence and innovative military strategies are showcased alongside his complex personality and clashes with civilian authority.  The narrative explores his profound impact on the 20th century, both domestically and internationally,  revealing the man behind the legend.  His controversial decisions in the Pacific theater and the Korean War are examined, highlighting his ambition and his often-divisive leadership style."
Married Life,6.2,2007,PG-13,Biography,Ira Sachs,Chris CooperPatricia ClarksonRachel McAdams,65.0,"https://m.media-amazon.com/images/M/MV5BOTUwOTYyMzkxNF5BMl5BanBnXkFtZTcwNjQ2NTg1MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",91.0,Title: Married Life; Genre: Biography; Director: Ira Sachs; Cast: Chris CooperPatricia ClarksonRachel McAdams,"In the quiet suburbs, a seemingly idyllic marriage unravels as long-held secrets and simmering resentments come to light.  Two couples, bound by proximity and shared history, find their lives irrevocably altered by infidelity and the painful consequences of betrayal.  The film explores the complexities of commitment and the devastating impact of unspoken truths on relationships.  As their worlds shatter, they must confront the wreckage of their pasts and navigate the uncertain future.  Ultimately, ""Married Life"" is a poignant exploration of love, loss, and the enduring power of hidden desires."
The Wild Child,7.5,1970,G,Biography,François Truffaut,François TruffautJean-Pierre CargolFrançoise Seigner,94.0,"https://m.media-amazon.com/images/M/MV5BYzgyNTdlMDYtYjQzYS00YWYxLTg2ODUtODQyNTk4ZGQ1MWM5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",83.0,Title: The Wild Child; Genre: Biography; Director: François Truffaut; Cast: François TruffautJean-Pierre CargolFrançoise Seigner,"Based on a true story, *The Wild Child* follows the intriguing journey of a feral boy discovered in the French wilderness.  Isolated and seemingly untouched by human civilization, he becomes the subject of a compassionate doctor's groundbreaking experiment in socialization.  Through patience and innovative methods, the doctor attempts to bridge the gap between wild instinct and human nurture.  The film poignantly explores the nature versus nurture debate, questioning the very definition of humanity.  The boy's slow, hesitant progress towards connection offers a powerful testament to the enduring human spirit."
Lonesome Soldier,6.2,2023,R,Biography,Nino Aldi,Alexander RandazzoLionel ChetwyndLinda Lee,66.0,"https://m.media-amazon.com/images/M/MV5BMzYxMTRkOGItZWMwNy00ZGFiLTg3NDgtMzIxNWQ2M2FiMGFkXkEyXkFqcGdeQXVyNDY4NjQwMTk@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0,Title: Lonesome Soldier; Genre: Biography; Director: Nino Aldi; Cast: Alexander RandazzoLionel ChetwyndLinda Lee,"Lonesome Soldier chronicles the untold story of a young man's harrowing journey through the trenches of World War I.  Haunted by a devastating loss, he endures unimaginable physical and psychological trauma, forging unexpected bonds of camaraderie amidst the chaos.  His unwavering spirit and resilience are tested to their limits as he fights for survival and grapples with the profound impact of war on his soul.  Ultimately, he must confront his past to find a path to redemption and peace."
Princess Kaiulani,6.1,2009,PG,Biography,Marc Forby,Q'orianka KilcherBarry PepperShaun Evans,41.0,"https://m.media-amazon.com/images/M/MV5BMTY2NDcwNjM2MF5BMl5BanBnXkFtZTcwNTE4ODE0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",130.0,Title: Princess Kaiulani; Genre: Biography; Director: Marc Forby; Cast: Q'orianka KilcherBarry PepperShaun Evans,"Princess Kaiulani, the last royal heir to the Hawaiian throne, navigates a tumultuous adolescence amidst the growing threat of American annexation.  Forced to become a political pawn, she fights valiantly to preserve her kingdom's sovereignty and cultural heritage.  Her journey is one of resilience, love, and heartbreaking loss as she witnesses the devastating erosion of her people's independence.  Ultimately, her unwavering spirit inspires a legacy that continues to resonate long after her untimely death."
Blaze,6.0,1989,R,Biography,Ron Shelton,Paul NewmanLolita DavidovichJerry Hardin,67.0,"https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,0,190,281_.jpg",120.0,Title: Blaze; Genre: Biography; Director: Ron Shelton; Cast: Paul NewmanLolita DavidovichJerry Hardin,"Blaze recounts the tumultuous life of Arkansas Governor Jim ""Blaze"" Blanchard, a charismatic and ambitious politician known for his progressive ideals and unconventional approach to governing.  His rise to power is fueled by charm and bold initiatives, but his career and personal life are ultimately consumed by scandal and political maneuvering.  Facing relentless attacks from both sides of the aisle, Blaze must fight to maintain his integrity while navigating a treacherous landscape of power brokers and hidden agendas.  The film explores the intoxicating allure and devastating consequences of ambition in the high-stakes world of politics."
My Father's Glory,7.6,1990,G,Adventure,Yves Robert,Louis NucéraMarcel PagnolYves Robert,66.0,"https://m.media-amazon.com/images/M/MV5BNzhmN2E0OGItODNjYy00NTlmLTliOWQtOWNjZDQ2MjViOTcwXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UY281_CR11,0,190,281_.jpg",105.0,Title: My Father's Glory; Genre: Adventure; Director: Yves Robert; Cast: Louis NucéraMarcel PagnolYves Robert,"A young boy's idyllic childhood in rural Provence is filled with unforgettable adventures alongside his family.  From mischievous escapades in the countryside to heartwarming moments of shared laughter and discovery, the boy's bond with his father deepens amidst the beauty and challenges of their simple life.  Their experiences are framed by the vibrant tapestry of Provençal life, shaping the boy's character and creating lasting memories. The film follows their heartwarming and exciting journey, showing the power of family and the beauty of simpler times."
13 Minutes,7.0,2015,R,Biography,Oliver Hirschbiegel,Christian FriedelKatharina SchüttlerBurghart Klaußner,58.0,"https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_QL75_UY281_CR3,0,190,281_.jpg",114.0,Title: 13 Minutes; Genre: Biography; Director: Oliver Hirschbiegel; Cast: Christian FriedelKatharina SchüttlerBurghart Klaußner,"13 Minutes recounts the harrowing true story of Georg Elser, a German carpenter who single-handedly planned to assassinate Adolf Hitler in 1939.  His meticulously crafted bomb was set to detonate during a Nazi Party rally, but fate—or a last-minute change of plans—intervenes.  The film explores Elser's motivations, his meticulous preparations, and the devastating consequences of his near-success.  A gripping tale of defiance and courage against an unimaginable evil, 13 Minutes unveils a forgotten chapter of World War II history."
Salome's Last Dance,6.4,1988,R,Biography,Ken Russell,Glenda JacksonStratford JohnsNickolas Grace,66.0,"https://m.media-amazon.com/images/M/MV5BNzBkNmI5MzQtZDVjOS00YWQ2LTkyMTktYTU1OTE0ZmRhYWM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,9,190,281_.jpg",89.0,Title: Salome's Last Dance; Genre: Biography; Director: Ken Russell; Cast: Glenda JacksonStratford JohnsNickolas Grace,"Salome's Last Dance chronicles the final, tumultuous years of the legendary dancer's life.  Haunted by past glories and simmering resentments, she grapples with fading fame and encroaching physical decline.  As her world crumbles, Salome clings to the illusion of her former magnificence, desperately seeking one last opportunity to recapture the spotlight.  Her fierce spirit fights against the ravages of time, revealing a complex and ultimately tragic figure."
The Wonderful World of the Brothers Grimm,6.4,1962,G,Adventure,Henry Levin,David P. HarmonCharles BeaumontWilliam Roberts,66.0,"https://m.media-amazon.com/images/M/MV5BZTlhMmZlNmMtOWQ5NS00YzNhLWIxMDEtOTA5OGYxYzkwZjhlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg",135.0,Title: The Wonderful World of the Brothers Grimm; Genre: Adventure; Director: Henry Levin; Cast: David P. HarmonCharles BeaumontWilliam Roberts,"Two adventurous brothers,  renowned for their fantastical storytelling, find their tales unexpectedly intertwined with reality when they stumble upon a hidden kingdom threatened by an ancient curse.  Their bravery and wit are tested as they journey through enchanted forests and confront mythical creatures to save the kingdom and uncover a darker truth behind the legends they spin.  Will their storytelling abilities help them overcome the magical perils or will they become victims of their own fantastical creations? The fate of the kingdom hangs in the balance."
A Quiet Passion,6.4,2016,PG-13,Biography,Terence Davies,Emma BellSara VertongenRose Williams,78.0,"https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",125.0,Title: A Quiet Passion; Genre: Biography; Director: Terence Davies; Cast: Emma BellSara VertongenRose Williams,"A Quiet Passion charts the life of Emily Dickinson, a reclusive poet whose genius blossomed in the shadows of 19th-century Massachusetts.  From her vibrant youth to her solitary later years, the film explores her complex relationships, unwavering devotion to her craft, and the internal struggles that shaped her iconic work.  We witness her evolution as a poet and the quiet battles she fought for creative expression against societal expectations.  Her profound and often heartbreaking journey reveals the internal world of a literary giant."
Burning Blue,6.2,2013,R,Biography,D.M.W. Greer,Trent FordTammy BlanchardMorgan Spector,29.0,"https://m.media-amazon.com/images/M/MV5BMTYyODQxNjQzOF5BMl5BanBnXkFtZTgwNzU2NzE2MTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",96.0,Title: Burning Blue; Genre: Biography; Director: D.M.W. Greer; Cast: Trent FordTammy BlanchardMorgan Spector,"Burning Blue tells the true story of a passionate romance between two Navy sailors, a relationship tragically cut short by the military's discriminatory policies.  Their love blossoms amidst the strict confines of shipboard life, but their secret is threatened by the ever-present danger of exposure.  Facing a harsh choice between their careers and their hearts, they navigate the complexities of their forbidden love and the devastating consequences.  The film explores themes of prejudice, courage, and the enduring power of love in the face of adversity."
Ludwig,7.5,1973,PG,Biography,Luchino Visconti,Helmut BergerRomy SchneiderTrevor Howard,66.0,"https://m.media-amazon.com/images/M/MV5BZDUwODg4YTgtOWI5NS00NDc0LWE2ZDEtYTRkOTljYzJiY2Y3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,4,190,281_.jpg",238.0,Title: Ludwig; Genre: Biography; Director: Luchino Visconti; Cast: Helmut BergerRomy SchneiderTrevor Howard,"Ludwig II, the eccentric King of Bavaria, is portrayed as a visionary artist and tormented soul.  His extravagant lifestyle and obsessive pursuit of beauty clash violently with the realities of his political responsibilities and the expectations of his court.  Isolated and increasingly delusional, he retreats further into a world of fantasy and grand projects, ultimately leading to his tragic downfall.  His life, a whirlwind of artistic brilliance and personal ruin, is explored with opulent visuals and emotional depth."
The Man Who Invented Christmas,7.0,2017,PG,Biography,Bharat Nalluri,Dan StevensMark SchrierPatrick Joseph Byrnes,60.0,"https://m.media-amazon.com/images/M/MV5BZDRjZWZlNjAtYjM1ZS00ZjAyLWE4MmEtNWVmNzZiNTYzOThjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",104.0,Title: The Man Who Invented Christmas; Genre: Biography; Director: Bharat Nalluri; Cast: Dan StevensMark SchrierPatrick Joseph Byrnes,"Haunted by writer's block and financial woes, a struggling Charles Dickens races against time to complete his ambitious new novel before Christmas.  He draws inspiration from his own life and family, and from the bustling, vibrant streets of Victorian London. As the story unfolds, so too do the characters of ""A Christmas Carol,"" born from Dickens' imagination and infused with his own personal demons and triumphs.  The film follows his creative journey, showcasing the inspiration and struggles behind the creation of a timeless classic."
